j ;Ptz;t ;K;DA ;DB ;DC ;DD ;Y ;Pt;Pe;Zg;Zw;PtA ;PtB ;PtC ;PtD ;PtS;E;PeA ;PeB ;PeC ;PeD ;ZgA;ZwB;ZwC;ZwD;RA;RB;RC;RD
265;469,7;0,7;184,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
266;464,7;0,8;183,3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
267;453,2;1,0;181,7;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
268;448,7;1,0;181,7;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
269;438,4;1,0;183,3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
270;443,7;0,9;184,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
271;450,3;0,9;243,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
272;458,7;0,7;240,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
273;457,4;0,5;248,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
274;460,2;0,4;248,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
275;409,1;0,3;248,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
276;419,7;0,2;248,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
277;423,1;0,2;248,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
278;422,6;0,1;248,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
279;422,5;0,2;248,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
280;435,5;-0,1;248,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
281;440,3;-0,4;248,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
282;431,5;-0,3;265,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
283;444,8;-0,2;267,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
284;453,8;-0,2;254,0;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
285;478,7;-0,2;248,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
286;472,9;-0,3;211,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
287;447,5;-0,4;245,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
288;430,5;-0,9;186,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
289;442,7;-0,9;186,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
290;447,2;-1,0;184,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
291;434,8;-1,0;183,7;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
292;425,3;-1,1;184,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
293;423,7;-1,4;186,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
294;403,7;-1,3;186,7;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
295;484,8;-1,3;253,7;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
296;483,9;-1,5;240,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
297;410,5;-1,7;316,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
298;418,8;-1,8;316,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
299;417,5;-1,6;316,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
300;435,5;-1,4;316,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
