j ;Ptz;t ;K;DA ;DB ;DC ;DD ;Y ;Pt;Pe;Zg;Zw;PtA ;PtB ;PtC ;PtD ;PtS;E;PeA ;PeB ;PeC ;PeD ;ZgA;ZwB;ZwC;ZwD;RA;RB;RC;RD
89;422,1;5,1;234,5;1;1;1;1;51294,38;422,10;210,28;0,00;2542,72;0,00;0,00;422,10;0,00;0,00;0,00;0,00;0,00;219,78;-9,51;0,00;0,00;2484,90;57,82;0,00;0,00;0,00;0,00
90;447,5;4,4;254,0;1;1;1;1;59163,50;447,50;224,07;0,00;2688,77;0,00;0,00;447,50;0,00;0,00;0,00;0,00;0,00;233,58;-9,51;0,00;0,00;2630,95;57,82;0,00;0,00;0,00;0,00
91;448,6;4,0;267,6;1;1;1;1;62382,25;448,60;224,67;0,00;2695,09;0,00;0,00;448,60;0,00;0,00;0,00;0,00;0,00;234,18;-9,51;0,00;0,00;2637,27;57,82;0,00;0,00;0,00;0,00
92;437,2;3,6;254,0;1;1;1;1;57635,24;437,20;218,48;0,00;2629,54;0,00;0,00;437,20;0,00;0,00;0,00;0,00;0,00;227,99;-9,51;0,00;0,00;2571,72;57,82;0,00;0,00;0,00;0,00
93;434,8;3,2;232,9;1;1;1;1;52696,74;434,80;217,18;0,00;2615,74;0,00;0,00;434,80;0,00;0,00;0,00;0,00;0,00;226,68;-9,51;0,00;0,00;2557,92;57,82;0,00;0,00;0,00;0,00
94;452,1;2,8;211,5;1;1;1;1;50216,69;452,10;226,57;0,00;2715,22;0,00;0,00;452,10;0,00;0,00;0,00;0,00;0,00;236,08;-9,51;0,00;0,00;2657,40;57,82;0,00;0,00;0,00;0,00
95;467,1;2,4;244,1;1;1;1;1;59747,92;467,10;234,72;0,00;2801,47;0,00;0,00;467,10;0,00;0,00;0,00;0,00;0,00;244,23;-9,51;0,00;0,00;2743,65;57,82;0,00;0,00;0,00;0,00
96;454,5;2,1;185,3;1;1;1;1;44547,01;454,50;227,88;0,00;2729,02;0,00;0,00;454,50;0,00;0,00;0,00;0,00;0,00;237,38;-9,51;0,00;0,00;2671,20;57,82;0,00;0,00;0,00;0,00
97;436;1,3;181,8;1;1;1;1;41730,07;436,00;217,83;0,00;2622,64;0,00;0,00;436,00;0,00;0,00;0,00;0,00;0,00;227,33;-9,51;0,00;0,00;2564,82;57,82;0,00;0,00;0,00;0,00
98;423,9;0,3;174,4;1;1;1;1;38846,00;423,90;211,25;0,00;2553,07;0,00;0,00;423,90;0,00;0,00;0,00;0,00;0,00;220,76;-9,51;0,00;0,00;2495,25;57,82;0,00;0,00;0,00;0,00
99;420,9;0,7;173,4;1;1;1;1;38320,97;420,90;209,62;0,00;2535,82;0,00;0,00;420,90;0,00;0,00;0,00;0,00;0,00;219,13;-9,51;0,00;0,00;2478,00;57,82;0,00;0,00;0,00;0,00
100;394,3;1,0;173,7;1;1;1;1;35597,36;394,30;195,18;0,00;2382,87;0,00;0,00;394,30;0,00;0,00;0,00;0,00;0,00;204,68;-9,51;0,00;0,00;2325,05;57,82;0,00;0,00;0,00;0,00
101;367,2;1,8;181,8;1;1;1;1;34220,17;367,20;180,45;0,00;2227,04;0,00;0,00;367,20;0,00;0,00;0,00;0,00;0,00;189,96;-9,51;0,00;0,00;2169,22;57,82;0,00;0,00;0,00;0,00
102;370,5;1,6;183,8;1;1;1;1;34944,87;370,50;182,25;0,00;2246,02;0,00;0,00;370,50;0,00;0,00;0,00;0,00;0,00;191,75;-9,51;0,00;0,00;2188,20;57,82;0,00;0,00;0,00;0,00
103;370,4;4,3;244,0;1;1;1;1;45901,84;370,40;182,19;0,00;2245,44;0,00;0,00;370,40;0,00;0,00;0,00;0,00;0,00;191,70;-9,51;0,00;0,00;2187,62;57,82;0,00;0,00;0,00;0,00
104;367,6;4,7;232,1;1;1;1;1;43351,61;367,60;180,67;0,00;2229,34;0,00;0,00;367,60;0,00;0,00;0,00;0,00;0,00;190,18;-9,51;0,00;0,00;2171,52;57,82;0,00;0,00;0,00;0,00
105;359,7;5,0;248,6;1;1;1;1;45183,70;359,70;176,38;0,00;2183,92;0,00;0,00;359,70;0,00;0,00;0,00;0,00;0,00;185,89;-9,51;0,00;0,00;2126,10;57,82;0,00;0,00;0,00;0,00
106;327,3;5,4;327,2;1;1;1;1;52951,51;327,30;158,78;0,00;1997,62;0,00;0,00;327,30;0,00;0,00;0,00;0,00;0,00;168,29;-9,51;0,00;0,00;1939,80;57,82;0,00;0,00;0,00;0,00
107;297,5;6,5;346,0;1;1;1;1;50025,73;297,50;142,59;0,00;1826,27;0,00;0,00;297,50;0,00;0,00;0,00;0,00;0,00;152,10;-9,51;0,00;0,00;1768,45;57,82;0,00;0,00;0,00;0,00
108;274,5;7,9;353,5;1;1;1;1;46439,40;274,50;130,10;0,00;1694,02;0,00;0,00;274,50;0,00;0,00;0,00;0,00;0,00;139,60;-9,51;0,00;0,00;1636,20;57,82;0,00;0,00;0,00;0,00
109;240,5;9,0;353,5;1;1;1;1;39556,97;240,50;111,63;0,00;1498,52;0,00;0,00;240,50;0,00;0,00;0,00;0,00;0,00;121,14;-9,51;0,00;0,00;1440,70;57,82;0,00;0,00;0,00;0,00
110;251,6;9,5;364,3;1;1;1;1;43074,60;251,60;117,66;0,00;1562,34;0,00;0,00;251,60;0,00;0,00;0,00;0,00;0,00;127,17;-9,51;0,00;0,00;1504,52;57,82;0,00;0,00;0,00;0,00
111;275,5;9,4;364,3;1;1;1;1;48052,76;275,50;130,64;0,00;1699,77;0,00;0,00;275,50;0,00;0,00;0,00;0,00;0,00;140,15;-9,51;0,00;0,00;1641,95;57,82;0,00;0,00;0,00;0,00
112;332,3;8,8;364,3;1;1;1;1;59883,71;332,30;161,50;0,00;2026,37;0,00;0,00;332,30;0,00;0,00;0,00;0,00;0,00;171,00;-9,51;0,00;0,00;1968,55;57,82;0,00;0,00;0,00;0,00
113;354,7;7,9;392,4;1;1;1;1;69429,40;354,70;173,66;0,00;2155,17;0,00;0,00;354,70;0,00;0,00;0,00;0,00;0,00;183,17;-9,51;0,00;0,00;2097,35;57,82;0,00;0,00;0,00;0,00
114;351;7,5;403,0;1;1;1;1;70421,78;351,00;171,65;0,00;2133,89;0,00;0,00;351,00;0,00;0,00;0,00;0,00;0,00;181,16;-9,51;0,00;0,00;2076,07;57,82;0,00;0,00;0,00;0,00
